event_slug,timestamp_ms,timestamp_iso,timestamp_est,event_type,asset_id,old_tick_size,new_tick_size
eth-updown-15m-1770832800-18:00,1770833495701,2026-02-11T18:11:35.728827Z,2026-02-11T18:11:35.728827-05:00,tick_size_change,22829517644567068057552969715564573817844307727311752867776344908347364480489,0.001,0.001
eth-updown-15m-1770832800-18:00,1770833495701,2026-02-11T18:11:35.729083Z,2026-02-11T18:11:35.729083-05:00,tick_size_change,81371295484089495654781816784122788668341778769483912775138222578417939361075,0.001,0.001
btc-updown-15m-1770832800-18:00,1770833496365,2026-02-11T18:11:36.391768Z,2026-02-11T18:11:36.391768-05:00,tick_size_change,25532990771441122769207214874439028902125860770425713226647339223272335794104,0.01,0.001
btc-updown-15m-1770832800-18:00,1770833496365,2026-02-11T18:11:36.392078Z,2026-02-11T18:11:36.392078-05:00,tick_size_change,235146197500716595918661567205216783963683986207774904387031369297900308139,0.01,0.001
btc-updown-15m-1770832800-18:00,1770833496365,2026-02-11T18:11:36.392185Z,2026-02-11T18:11:36.392185-05:00,tick_size_change,25532990771441122769207214874439028902125860770425713226647339223272335794104,0.001,0.001
btc-updown-15m-1770832800-18:00,1770833496365,2026-02-11T18:11:36.392275Z,2026-02-11T18:11:36.392275-05:00,tick_size_change,235146197500716595918661567205216783963683986207774904387031369297900308139,0.001,0.001
xrp-updown-15m-1770832800-18:00,1770833496977,2026-02-11T18:11:37.001525Z,2026-02-11T18:11:37.001525-05:00,tick_size_change,111371512286017927761243345993557481140347612995354595840084160713721927224075,0.01,0.001
xrp-updown-15m-1770832800-18:00,1770833496977,2026-02-11T18:11:37.001655Z,2026-02-11T18:11:37.001655-05:00,tick_size_change,42736667499142143908796567547612784826655323663215724713443228618761365146963,0.01,0.001
xrp-updown-15m-1770832800-18:00,1770833496977,2026-02-11T18:11:37.001709Z,2026-02-11T18:11:37.001709-05:00,tick_size_change,111371512286017927761243345993557481140347612995354595840084160713721927224075,0.001,0.001
xrp-updown-15m-1770832800-18:00,1770833496977,2026-02-11T18:11:37.001744Z,2026-02-11T18:11:37.001744-05:00,tick_size_change,42736667499142143908796567547612784826655323663215724713443228618761365146963,0.001,0.001
